state,Black,White,ratio
Kansas,1.3,0.2,6.5
Florida,0.6,0.1,5.999999999999999
Wisconsin,0.5,0.1,5.0
Pennsylvania,0.5,0.1,5.0
Michigan,0.5,0.1,5.0
Washington,0.4,0.1,4.0
New Jersey,0.8,0.2,4.0
Mississippi,0.8,0.2,4.0
Massachusetts,0.4,0.1,4.0
Minnesota,0.4,0.1,4.0
Illinois,0.4,0.1,4.0
Alabama,0.7,0.2,3.4999999999999996
South Carolina,0.7,0.2,3.4999999999999996
Arkansas,1.0,0.3,3.3333333333333335
Tennessee,1.0,0.3,3.3333333333333335
Oklahoma,0.9,0.3,3.0
North Carolina,0.6,0.2,2.9999999999999996
Virginia,0.6,0.2,2.9999999999999996
California,0.3,0.1,2.9999999999999996
Ohio,0.6,0.2,2.9999999999999996
New York,0.6,0.2,2.9999999999999996
Connecticut,0.3,0.1,2.9999999999999996
Missouri,0.6,0.2,2.9999999999999996
Georgia,0.6,0.2,2.9999999999999996
Arizona,0.6,0.2,2.9999999999999996
Louisiana,0.8,0.3,2.666666666666667
Nevada,0.5,0.2,2.5
Indiana,0.7,0.3,2.3333333333333335
Texas,0.6,0.3,2.0
Kentucky,0.6,0.3,2.0
Maryland,0.3,0.2,1.4999999999999998
