,coefficient,std_err,t_value,p_value,ci_lower,ci_upper
Intercept,0.23548387096774306,0.09587002085566325,2.4562826717465196,0.019143195221361767,0.04085738154713542,0.4301103603883507
"C(race_clean, Treatment(reference=""White""))[T.American_Indian_or_Alaska_Native]",0.2645161290322587,0.11680317213908675,2.2646313810491248,0.02983441978576528,0.02739308322790915,0.5016391748366082
"C(race_clean, Treatment(reference=""White""))[T.Asian]",0.05451612903225759,0.07503015927315482,0.7265895415973482,0.47230922081037563,-0.09780319216605995,0.20683545023057512
"C(race_clean, Treatment(reference=""White""))[T.Black_or_African_American]",0.42903225806451617,0.03389517092976751,12.65762190589015,1.2716701920749802e-14,0.3602214028305946,0.4978431132984377
"C(race_clean, Treatment(reference=""White""))[T.More_than_one_race]",0.1945161290322576,0.1569215854863284,1.2395753486011303,0.22337995335298785,-0.12405162577715154,0.5130838838416667
C(state_clean)[T.Alaska],0.0645161290322578,0.16431293737991753,0.39264180934874465,0.6969652196883582,-0.2690568678568149,0.39808912592133044
C(state_clean)[T.Arizona],0.033333333333332396,0.12776426385048165,0.26089715800610186,0.795700832140833,-0.22604191165659904,0.2927085783232638
C(state_clean)[T.Arkansas],0.19999999999999968,0.13344542139598292,1.4987400684698218,0.14290733127901342,-0.07090860796469312,0.47090860796469247
C(state_clean)[T.California],-0.2300000000000002,0.12423092647436022,-1.8513908454789594,0.07256578627313592,-0.4822021887694843,0.022202188769483877
C(state_clean)[T.Colorado],-0.13548387096774192,0.1643129373799175,-0.8245477996323672,0.4152125826810833,-0.46905686785681455,0.19808912592133068
C(state_clean)[T.Connecticut],-0.24999999999999978,0.13344542139598292,-1.8734250855872787,0.06937958084006841,-0.5209086079646925,0.020908607964693016
C(state_clean)[T.District_of_Columbia],-0.06451612903225827,0.16431293737991745,-0.3926418093487477,0.6969652196883562,-0.3980891259213308,0.2690568678568142
C(state_clean)[T.Florida],-0.10000000000000041,0.13344542139598298,-0.7493700342349149,0.4586415711693077,-0.3709086079646933,0.17090860796469248
C(state_clean)[T.Georgia],-0.05000000000000011,0.13344542139598298,-0.3746850171174567,0.7101555069123792,-0.320908607964693,0.2209086079646928
C(state_clean)[T.Idaho],-0.03548387096774123,0.16431293737991745,-0.21595299514180624,0.8302780464160319,-0.36905686785681374,0.29808912592133124
C(state_clean)[T.Illinois],-0.19999999999999998,0.133445421395983,-1.4987400684698233,0.14290733127901306,-0.4709086079646929,0.07090860796469298
C(state_clean)[T.Indiana],0.05000000000000016,0.13344542139598298,0.3746850171174571,0.7101555069123789,-0.22090860796469275,0.32090860796469306
